idx_pk,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
71,1,4,4,14,13,3,12,3,2,0,0,0,1,39,0
72,1,6,2,14,13,4,12,0,4,1,0,0,3,39,1
73,0,4,3,0,10,0,7,1,4,1,0,0,1,39,0
74,5,4,1,0,10,4,10,2,4,1,0,0,0,39,0
75,1,4,3,9,9,0,8,3,4,1,0,0,1,26,0
76,2,4,0,13,12,4,1,0,4,1,0,0,1,39,0
77,5,0,3,4,6,4,0,0,4,1,0,0,0,39,0
78,0,4,4,3,7,0,8,3,4,0,0,0,1,39,0
79,1,2,1,7,4,4,5,0,4,1,0,0,1,39,0
80,0,4,4,9,9,0,12,1,4,1,0,0,1,39,0
81,3,4,4,14,13,4,8,0,4,1,0,0,1,5,0
82,3,4,0,9,9,4,8,5,4,0,0,0,1,39,0
83,4,4,2,9,9,4,12,0,4,1,0,0,2,39,0
84,2,4,4,9,9,2,3,1,4,0,3,0,1,39,1
85,3,4,4,9,9,2,12,3,4,0,0,0,1,39,0
86,3,2,4,9,9,4,11,0,4,1,0,0,1,39,1
87,1,4,3,15,14,4,10,0,4,1,0,0,2,39,0
88,1,4,0,6,5,0,12,1,4,1,0,0,1,39,0
89,2,1,4,12,16,0,10,1,4,0,0,0,2,39,1
90,4,4,3,10,11,4,10,0,4,1,0,0,1,39,0
91,2,4,4,0,10,2,3,4,4,0,0,0,1,39,0
92,1,4,3,0,10,2,7,4,2,0,0,0,1,39,0
93,1,4,1,9,9,4,12,5,1,0,0,3,1,0,0
94,1,2,3,14,13,4,11,0,4,1,0,0,1,39,1
95,1,2,1,0,10,0,6,1,4,1,0,0,2,39,0
96,3,6,2,12,16,4,10,0,4,1,0,3,2,39,1
97,2,4,3,0,10,4,12,0,4,1,0,0,2,39,1
98,3,4,2,13,12,2,4,4,4,0,0,0,1,9,0
99,1,1,3,9,9,0,8,3,2,1,0,0,1,39,0
100,5,4,1,15,14,4,4,0,4,1,0,0,1,39,1
101,2,4,3,14,13,4,4,0,4,1,3,0,2,39,1
102,3,6,1,15,14,0,10,1,4,0,0,0,2,39,0
103,0,4,2,0,10,0,13,3,4,0,0,0,1,39,0
104,1,4,0,9,9,0,3,1,4,1,0,0,1,39,0
105,1,5,4,9,9,4,3,0,4,1,3,0,1,39,1
106,0,0,4,4,6,0,0,3,4,0,3,0,1,39,0
107,1,4,2,3,7,0,6,3,4,1,0,0,1,39,0
108,1,2,2,9,9,0,1,1,4,0,0,0,1,39,0
109,2,4,1,9,9,4,6,0,4,1,0,0,1,39,0
110,0,4,4,14,13,0,12,2,4,1,0,0,1,39,0
111,2,4,0,1,15,4,10,0,4,1,0,0,1,39,1
112,4,6,4,9,9,4,8,0,4,1,0,3,2,2,1
113,1,4,4,0,10,4,12,5,4,0,3,0,1,39,0
114,2,4,0,9,9,0,7,3,4,0,0,0,1,39,0
115,3,4,0,6,5,4,6,0,4,1,0,0,2,39,0
116,4,5,4,0,10,4,12,0,4,1,0,0,2,39,0
117,3,2,3,10,11,4,3,0,2,1,0,0,1,39,1
118,3,4,3,0,10,4,12,0,4,1,0,0,2,39,0
119,0,4,0,9,9,0,3,1,4,1,0,0,2,39,0
120,0,4,3,0,10,0,8,3,4,0,0,0,1,39,0
121,2,4,1,14,13,4,4,0,4,1,0,0,2,39,0
122,1,4,0,14,13,0,4,3,2,1,0,0,1,11,0
123,1,7,4,14,13,4,10,0,4,1,0,0,2,39,1
124,0,4,4,0,10,0,8,3,2,1,0,0,1,39,0
125,3,4,4,14,13,4,4,5,4,0,0,0,1,39,1
126,0,4,1,0,10,0,1,3,4,0,0,3,1,39,0
127,1,4,1,13,12,4,1,0,4,1,0,0,1,39,1
128,1,0,1,9,9,4,0,0,4,1,0,0,1,39,0
129,2,4,4,0,10,2,3,1,4,1,0,0,1,39,0
130,1,4,0,13,12,0,12,1,4,0,0,0,2,39,0
131,0,4,0,9,9,0,8,1,4,0,0,3,1,39,0
132,2,6,1,9,9,4,3,0,4,1,3,0,1,39,0
133,2,4,3,14,13,4,12,0,4,1,0,0,2,39,0
134,3,4,1,13,12,2,13,1,2,0,0,0,1,39,0
135,2,1,1,15,14,4,10,0,4,1,0,0,1,20,1
136,2,6,0,9,9,4,3,0,4,1,0,0,2,39,0
137,1,4,2,10,11,4,1,5,4,0,0,0,1,39,0
138,0,4,0,0,10,0,12,3,4,1,0,0,0,39,0
139,3,4,0,0,10,4,3,0,1,1,0,0,1,39,1
140,4,5,0,9,9,4,3,0,4,1,0,0,1,39,0
141,1,4,3,0,10,0,12,3,4,0,0,0,1,39,0
142,0,4,4,0,10,0,8,3,4,1,0,0,1,26,0
143,2,4,3,10,11,0,10,1,4,0,0,3,1,39,1
144,5,4,0,0,10,0,13,2,4,1,0,0,1,39,0
145,1,4,2,9,9,0,14,4,2,0,0,0,1,39,0
146,0,4,2,0,10,4,8,0,4,1,0,0,1,39,0
147,2,4,1,9,9,1,8,4,4,0,0,0,1,39,0
148,4,4,2,3,7,4,3,0,4,1,0,3,1,39,0
149,2,0,2,0,10,2,0,1,4,0,0,0,1,39,0
150,3,2,2,0,10,2,1,4,4,0,0,0,1,26,0
151,1,4,3,9,9,0,1,1,4,0,0,0,1,39,0
152,1,4,2,14,13,0,4,2,1,0,0,0,1,30,0
153,0,4,4,9,9,0,3,3,4,1,0,0,1,39,0
154,3,0,3,9,9,2,0,1,4,1,0,0,2,39,1
155,3,4,2,9,9,4,3,0,4,1,0,0,2,39,0
156,0,4,3,14,13,0,6,1,4,1,0,0,1,39,0
157,5,6,4,0,10,3,12,4,2,1,0,3,0,39,0
158,1,4,2,9,9,2,3,1,4,1,0,0,2,39,0
159,2,4,3,14,13,3,8,2,2,1,0,0,2,39,0
160,5,0,0,5,2,2,0,1,4,0,0,0,0,39,0
161,0,4,3,9,9,0,8,4,4,0,0,0,1,39,0
162,2,5,0,15,14,2,4,4,1,0,0,0,1,39,0
163,1,4,0,9,9,0,4,1,1,0,0,0,1,9,0
164,2,6,3,15,14,4,12,0,4,1,0,0,1,39,1
165,2,4,3,0,10,2,8,4,4,0,0,0,1,26,0
166,2,1,3,13,12,0,4,1,4,1,0,0,2,39,0
167,3,7,0,15,14,1,11,4,4,1,0,0,1,39,0
168,0,4,0,3,7,0,6,3,4,1,0,0,0,39,0
169,5,2,0,10,11,1,10,1,4,0,0,0,0,39,0
170,1,4,1,9,9,0,8,1,4,1,0,3,1,39,0
171,1,7,2,9,9,4,11,0,4,1,0,0,1,39,0
172,3,4,0,0,10,4,12,0,4,1,0,3,1,39,1
173,1,4,4,14,13,0,3,1,4,1,0,0,2,39,0
174,1,7,1,14,13,4,10,0,4,1,0,0,1,39,1
175,1,4,3,9,9,5,12,4,4,0,0,0,1,39,0
176,0,4,4,9,9,0,3,3,2,1,0,0,1,39,0
177,1,4,4,9,9,0,6,1,2,1,0,0,1,39,0
178,0,4,2,9,9,0,8,3,4,1,0,0,0,39,0
179,1,4,0,14,13,4,10,0,4,1,0,0,3,39,0
180,2,2,2,0,10,4,4,0,2,1,0,0,1,39,1
181,2,4,1,0,10,2,1,1,4,0,0,0,1,39,0
182,1,4,4,0,10,0,3,1,2,1,0,0,2,39,0
183,2,4,4,7,4,4,7,0,4,1,0,0,1,26,1
184,2,1,0,0,10,4,1,0,4,1,0,0,2,39,1
185,1,4,4,9,9,4,1,0,2,1,0,0,1,39,0
186,2,6,1,14,13,2,4,1,4,0,0,0,1,39,0
187,3,0,1,14,13,2,0,1,4,0,0,0,2,39,0
188,1,4,0,15,14,4,10,5,4,0,0,0,2,39,0
189,4,7,1,12,16,4,10,0,4,1,0,0,0,39,1
190,2,4,1,0,10,2,7,1,2,0,0,0,1,39,0
191,0,4,2,0,10,4,7,0,4,1,0,0,1,39,0
192,2,2,4,14,13,4,3,0,2,1,0,0,1,39,0
193,3,4,1,0,10,4,13,0,4,1,0,0,2,39,0
194,2,1,1,14,13,4,13,0,4,1,0,0,1,39,0
195,0,4,3,8,3,4,14,2,4,1,0,0,1,26,0
196,2,4,0,0,10,2,3,1,4,1,0,0,1,39,0
197,2,1,0,15,14,0,4,1,4,0,3,0,2,39,1
198,1,4,1,15,14,4,10,2,4,1,3,0,1,39,1
199,0,6,0,9,9,0,12,1,4,1,0,0,1,39,0
200,1,4,4,15,14,0,10,1,4,0,0,3,1,39,0
201,0,0,2,9,9,0,0,3,4,1,0,0,1,22,0
202,3,4,3,14,13,4,4,0,4,1,0,0,2,39,1
203,2,2,3,0,10,0,10,1,4,0,0,3,1,39,0
204,2,7,0,9,9,2,1,4,4,0,0,0,1,39,0
205,0,4,1,3,7,0,12,3,4,0,0,0,1,39,0
206,2,4,1,14,13,4,8,0,2,1,3,0,1,39,1
207,1,4,0,9,9,2,3,1,4,1,0,0,2,39,0
208,4,5,3,9,9,4,12,5,4,0,3,0,1,39,1
209,0,4,0,3,7,0,12,3,4,0,0,0,0,39,0
210,2,2,2,9,9,4,14,0,2,1,0,0,1,39,0
211,2,4,3,9,9,4,3,0,4,1,0,0,1,39,1
212,1,4,1,0,10,0,12,1,0,0,0,0,1,39,0
213,4,4,0,9,9,4,3,0,1,1,0,0,1,39,0
214,3,5,1,7,4,4,7,0,4,1,0,0,1,39,1
215,2,4,4,14,13,0,4,1,2,1,0,0,2,39,1
216,3,4,4,13,12,2,12,1,4,0,0,0,1,39,0
217,2,4,2,14,13,4,12,0,4,1,0,0,2,31,0
218,2,4,1,14,13,4,10,0,4,1,0,0,2,39,0
219,0,4,3,4,6,0,3,1,4,1,0,0,1,39,0
220,1,4,3,0,10,4,6,0,4,1,0,0,1,39,0
221,4,0,2,5,2,2,0,1,4,1,0,0,1,39,0
222,5,4,0,9,9,0,8,1,2,1,0,3,1,39,0
223,3,4,2,9,9,4,1,0,2,1,0,0,0,39,0
224,3,2,1,11,1,0,7,1,4,0,0,0,1,39,0
225,0,4,3,9,9,0,12,3,4,0,0,0,1,39,0
226,4,0,0,4,6,2,0,1,0,0,0,0,0,39,0
227,5,6,2,9,9,4,5,0,4,1,3,0,2,39,0
228,5,4,4,10,11,1,1,1,4,0,0,0,0,4,0
229,4,4,2,9,9,2,1,1,4,0,0,0,1,39,0
230,1,4,4,3,7,3,14,1,2,1,3,0,1,39,0
231,2,4,1,9,9,2,12,4,2,0,0,0,1,39,0
232,0,4,2,0,10,0,1,1,4,1,0,0,2,39,0
233,1,4,1,0,10,2,3,2,3,0,0,0,1,39,0
234,1,4,0,1,15,0,10,1,4,1,0,0,2,39,1
235,4,7,4,9,9,4,8,0,4,1,0,0,1,39,0
236,2,7,2,0,10,0,1,1,4,0,0,0,1,39,0
237,2,4,2,14,13,4,4,0,4,1,0,0,2,20,1
238,2,2,1,15,14,4,4,0,4,1,0,0,3,39,1
239,0,4,1,9,9,0,14,3,4,1,0,0,1,39,0
240,2,4,4,14,13,4,10,0,4,1,0,0,1,39,1
241,2,6,2,9,9,4,8,5,4,0,0,0,0,39,0
242,0,7,4,13,12,4,11,0,4,1,0,0,2,39,0
243,0,0,1,0,10,0,0,3,4,1,0,0,0,39,0
244,2,4,2,0,10,2,3,1,4,1,0,3,1,39,0
245,4,4,3,9,9,4,1,0,4,1,0,0,1,0,0
246,4,4,3,9,9,4,1,0,4,1,0,0,2,39,1
247,1,4,2,9,9,0,8,1,4,0,0,0,1,39,0
248,2,4,3,13,12,4,13,0,4,1,0,3,2,39,1
249,2,4,1,9,9,4,1,0,4,1,0,0,1,0,0
250,2,4,1,1,15,4,10,5,4,0,0,0,1,39,1
251,2,4,4,14,13,4,1,5,2,0,0,0,1,39,0
252,4,2,2,4,6,1,8,4,2,0,0,0,1,39,0
253,0,2,0,0,10,0,1,3,4,1,0,0,1,39,0
254,4,4,3,0,10,0,14,1,4,1,0,0,0,39,0
255,2,6,4,9,9,4,5,0,1,1,0,0,1,1,1
256,0,4,1,9,9,0,8,3,4,0,0,0,1,39,0
257,1,4,2,9,9,3,8,1,4,0,0,0,1,39,0
258,2,4,2,10,11,1,4,1,4,0,0,0,2,39,0
259,3,4,3,7,4,2,3,1,4,1,0,0,1,39,0
260,2,4,1,14,13,2,10,3,4,0,0,0,1,39,0
261,2,4,0,9,9,4,12,0,4,1,0,0,2,39,0
262,0,4,3,3,7,0,8,3,4,1,0,0,0,39,0
263,4,4,1,0,10,4,12,0,4,1,3,0,1,39,0
264,1,4,4,3,7,4,3,0,4,1,0,0,1,39,0
265,2,5,3,0,10,4,4,0,1,1,0,0,3,37,1
266,0,0,3,0,10,0,0,3,4,1,0,0,1,2,0
267,4,4,0,9,9,4,4,0,4,1,0,0,1,39,1
268,1,4,2,14,13,0,10,1,4,0,0,0,2,39,0
269,1,4,3,9,9,4,3,5,4,0,0,0,1,39,1
270,4,4,0,9,9,4,4,0,4,1,0,0,1,39,1
271,0,4,2,6,5,0,8,3,4,1,3,0,1,39,0
272,3,6,0,15,14,4,5,0,4,1,3,0,4,39,0
273,1,2,3,15,14,0,10,3,4,1,0,0,1,39,0
274,1,4,0,9,9,2,10,3,4,0,0,0,1,39,0
275,2,4,4,9,9,4,6,0,2,1,0,0,1,39,0
276,2,4,2,0,10,4,3,0,4,1,3,0,1,39,1
277,1,4,2,0,10,0,4,1,4,0,0,0,1,39,0
278,0,4,2,0,10,0,13,3,4,0,0,0,1,39,0
279,0,4,4,0,10,4,7,5,4,0,3,0,2,39,1
280,0,4,0,14,13,0,10,1,4,0,0,0,0,11,0
281,2,2,0,0,10,4,3,0,4,1,3,0,1,39,1
282,1,4,2,13,12,2,12,4,2,0,0,0,2,39,0
283,4,4,2,14,13,2,10,1,4,0,0,0,2,39,0
284,0,4,3,9,9,0,6,3,4,1,0,0,1,39,0
285,4,1,4,15,14,4,12,0,4,1,3,0,1,39,1
286,2,4,3,1,15,4,10,0,4,1,0,0,2,39,1
287,3,4,2,0,10,2,8,1,4,1,0,0,2,39,0
288,0,4,4,14,13,0,4,1,4,0,0,0,1,39,0
289,3,4,2,7,4,4,3,0,4,1,0,0,1,7,0
290,2,4,3,14,13,4,10,0,4,1,0,0,2,39,0
291,1,4,1,9,9,2,10,1,4,0,0,0,1,39,0
292,1,2,3,14,13,0,11,1,4,1,0,0,2,39,0
293,0,4,3,0,10,0,12,3,4,1,0,0,2,39,0
294,1,4,3,14,13,0,13,4,2,0,0,0,1,39,0
295,4,4,1,9,9,4,14,0,4,1,0,0,0,39,0
296,2,5,0,14,13,2,12,1,4,0,0,0,2,39,0
297,2,0,1,15,14,4,0,5,1,0,3,0,1,0,0
298,0,4,4,9,9,0,3,3,4,1,0,0,1,39,0
299,2,4,2,9,9,2,12,1,4,1,0,0,3,39,0
300,3,4,1,14,13,4,1,0,4,1,3,0,1,39,1
301,0,4,1,0,10,0,8,1,1,0,0,0,1,39,0
302,1,4,3,9,9,4,14,0,4,1,0,0,2,39,1
303,3,4,3,9,9,4,12,0,4,1,3,0,1,39,1
304,0,4,4,0,10,4,1,5,1,0,0,0,1,25,0
305,2,4,2,9,9,2,1,1,4,0,0,0,1,39,0
306,1,4,2,13,12,0,13,1,4,1,0,0,2,39,0
307,3,4,0,13,12,0,10,1,4,0,0,0,1,39,0
308,1,4,2,13,12,4,1,0,4,1,0,0,1,39,1
309,2,5,0,0,10,4,5,0,4,1,0,0,2,39,1
310,1,4,0,14,13,0,12,1,4,1,0,0,1,39,0
311,1,4,1,15,14,4,4,0,1,1,3,0,1,36,1
312,0,0,4,0,10,0,0,3,2,0,0,0,1,39,0
313,2,6,3,14,13,2,10,1,2,0,0,0,1,39,1
314,0,4,3,0,10,0,12,3,4,1,0,0,0,39,0
315,0,4,2,0,10,0,7,1,4,1,0,0,1,39,0
316,5,6,1,0,10,4,12,0,4,1,0,0,1,39,0
317,0,4,4,8,3,4,7,2,4,0,0,0,1,26,0
318,1,4,4,0,10,0,13,1,4,0,0,0,1,39,0
319,4,4,2,9,9,1,8,1,4,0,0,0,1,39,0
320,2,6,2,9,9,4,4,0,4,1,0,0,1,39,0
321,2,4,0,0,10,4,3,0,4,1,0,3,2,39,0
322,1,4,2,9,9,2,14,1,4,1,0,0,2,39,0
323,1,4,3,3,7,0,4,1,4,0,0,0,1,39,0
324,5,6,2,15,14,4,3,0,4,1,0,0,0,39,0
325,4,6,0,9,9,4,5,0,4,1,0,0,2,39,0
326,0,0,3,10,11,0,0,3,2,0,0,0,0,39,0
327,2,4,2,0,10,4,10,5,4,0,0,3,2,39,1
328,4,6,4,9,9,4,6,0,4,1,0,0,1,39,0
329,5,4,1,9,9,0,14,1,4,1,3,0,2,39,0
330,2,4,3,0,10,0,3,1,2,1,0,0,2,39,0
331,1,4,3,14,13,0,1,1,4,1,0,0,1,39,0
332,3,4,2,10,11,0,8,1,4,1,0,0,1,39,0
333,3,2,0,4,6,4,1,0,4,1,0,0,1,39,0
334,3,4,3,9,9,4,14,0,4,1,0,0,1,39,0
335,0,4,4,8,3,0,8,2,4,1,0,0,2,26,0
336,1,4,0,9,9,0,3,2,4,1,0,0,1,39,0
337,3,4,0,15,14,0,10,1,4,1,0,0,2,39,0
338,0,4,0,9,9,0,12,4,2,1,0,0,1,14,0
339,2,4,4,9,9,4,8,0,2,1,0,0,1,39,0
340,1,4,0,13,12,0,12,1,4,1,0,0,1,39,0
341,2,4,4,10,11,4,3,0,4,1,3,0,1,39,1
342,2,7,1,9,9,4,11,0,4,1,3,0,1,39,1
343,1,4,0,9,9,0,5,1,4,1,0,0,0,39,0
344,0,7,4,0,10,0,11,3,2,0,0,0,1,39,0
345,2,6,3,14,13,0,12,1,4,1,0,0,2,39,0
346,5,0,0,3,7,4,0,0,4,1,0,0,0,39,0
347,1,0,1,10,11,2,0,4,4,0,0,0,1,39,0
348,4,4,0,13,12,5,8,1,4,1,0,0,1,20,0
349,1,4,1,14,13,0,10,3,4,1,0,0,1,39,0
350,1,4,1,14,13,4,4,0,4,1,0,0,1,39,1
351,1,4,2,9,9,4,8,0,4,1,0,0,1,39,0
352,1,4,1,14,13,4,4,0,4,1,0,0,1,39,1
353,3,2,4,3,7,4,14,0,4,1,0,0,1,39,0
354,4,0,4,14,13,4,0,0,4,1,0,0,1,39,1
355,2,1,0,9,9,4,1,0,4,1,0,0,1,39,1
356,4,4,2,3,7,1,8,4,3,1,0,0,1,39,0
357,2,4,0,10,11,4,13,0,4,1,0,0,1,39,1
358,2,4,1,9,9,4,1,5,4,0,0,0,1,39,0
359,1,6,1,6,5,4,3,0,4,1,0,0,1,32,0
360,2,4,4,4,6,4,8,5,4,0,0,0,1,39,0
361,4,4,4,15,14,4,10,0,4,1,0,0,1,39,1
362,2,4,2,14,13,4,14,0,4,1,0,0,2,39,0
363,2,4,2,14,13,2,4,1,4,1,0,3,2,39,1
364,0,4,4,9,9,5,12,1,4,1,0,0,2,39,0
365,1,4,0,9,9,4,3,0,4,1,0,0,1,39,0
366,4,6,2,0,10,4,12,0,4,1,0,0,2,39,0
367,0,4,4,13,12,0,12,1,4,0,0,0,0,39,0
368,4,4,3,14,13,2,4,1,4,0,0,0,2,39,1
369,2,4,4,9,9,2,12,4,4,0,0,0,1,39,0
370,1,1,2,0,10,0,1,4,4,0,0,0,0,39,0
371,0,4,0,3,7,0,8,3,4,1,0,0,0,39,0
372,2,7,2,10,11,4,7,0,4,1,0,0,1,39,1
373,2,4,3,9,9,4,7,0,2,1,0,0,1,39,0
374,2,4,2,9,9,0,3,1,2,1,0,0,1,39,0
375,0,2,4,0,10,0,1,3,4,0,0,0,0,39,0
376,1,4,4,9,9,4,3,5,4,0,0,0,1,39,0
377,0,4,0,0,10,0,12,1,4,1,0,0,1,39,0
378,3,6,0,15,14,2,4,1,4,1,0,0,1,39,0
379,2,4,2,9,9,4,12,0,4,1,0,0,2,39,0
380,3,4,2,9,9,2,14,1,4,1,0,0,1,39,0
381,3,4,3,8,3,2,3,1,4,0,0,3,2,39,0
382,0,4,4,0,10,4,3,0,4,1,0,0,1,39,0
383,3,4,1,0,10,2,12,1,4,0,0,0,1,39,0
384,2,2,1,0,10,4,14,5,4,0,0,0,1,39,0
385,0,4,4,9,9,0,8,1,4,0,0,0,1,39,0
386,1,4,1,9,9,3,7,1,4,1,0,0,1,39,0
387,2,4,2,0,10,4,1,5,4,0,0,3,0,39,1
388,0,4,0,0,10,0,1,3,4,0,0,0,0,39,0
389,0,4,3,9,9,0,8,2,4,0,0,0,1,39,0
390,1,4,3,9,9,4,8,5,4,0,0,0,1,39,1
391,1,4,4,14,13,0,3,1,4,1,0,0,2,39,0
392,3,6,4,13,12,3,3,1,4,1,0,0,1,39,0
393,1,7,0,14,13,4,4,0,4,1,3,0,2,0,1
394,1,4,2,9,9,0,8,1,4,0,0,0,1,39,0
395,2,4,1,0,10,4,13,0,4,1,0,0,1,39,0
396,2,4,0,0,10,2,6,4,4,0,0,0,1,39,0
397,0,0,1,9,9,0,0,2,4,0,0,0,1,39,0
398,0,4,0,14,13,4,4,0,4,1,0,0,2,39,1
399,3,5,1,14,13,4,4,0,4,1,0,0,2,39,1
400,0,4,4,0,10,0,6,3,4,1,0,0,1,39,0
401,1,4,1,0,10,0,8,1,4,0,0,0,1,39,0
402,3,7,4,14,13,4,11,0,4,1,0,0,1,39,1
403,1,4,3,10,11,2,13,1,4,0,0,0,3,39,0
404,1,4,2,7,4,4,6,0,3,1,0,3,1,33,0
405,2,4,4,15,14,4,4,0,4,1,0,3,3,39,1
406,1,4,1,9,9,4,1,0,4,1,0,0,1,39,0
407,3,6,4,9,9,4,3,0,4,1,0,0,1,39,0
408,1,0,1,0,10,4,0,5,4,0,0,3,1,39,1
409,1,4,4,0,10,4,4,0,4,1,0,0,2,39,0
410,2,2,0,0,10,2,8,1,2,0,0,0,1,39,0
411,0,4,3,9,9,0,6,4,2,0,0,0,1,39,0
412,1,4,1,0,10,2,4,4,4,0,0,0,1,39,0
413,3,4,2,12,16,4,4,0,4,1,3,0,2,39,1
414,1,7,4,0,10,4,7,0,4,1,0,0,1,39,0
415,1,4,0,2,8,2,3,1,4,1,0,0,2,39,1
416,3,4,2,5,2,4,7,0,4,1,0,0,1,26,0
417,1,4,4,3,7,0,8,3,4,0,0,0,0,39,0
418,1,2,3,3,7,3,7,1,2,1,0,0,1,39,0
419,1,7,3,9,9,2,14,4,4,0,0,0,1,39,0
420,0,4,0,0,10,4,12,0,4,1,0,0,1,39,0
421,0,4,2,3,7,0,6,3,4,1,3,0,0,39,0
422,1,7,0,14,13,4,4,5,4,0,0,0,1,39,1
423,1,4,2,9,9,2,5,1,4,1,0,0,1,39,0
424,1,4,3,4,6,0,3,4,4,0,0,0,1,39,0
425,0,4,1,9,9,4,14,0,4,1,0,0,2,39,0
426,2,1,3,15,14,0,10,1,4,1,0,3,1,39,0
427,0,4,3,9,9,0,6,1,4,1,0,0,3,6,0
428,4,5,3,9,9,4,4,0,4,1,0,0,1,39,1
429,3,2,4,15,14,4,10,0,4,1,0,0,1,39,0
430,5,0,1,9,9,1,0,1,4,1,0,0,1,39,0
431,0,0,3,3,7,0,0,3,4,1,0,0,1,39,0
432,2,6,3,14,13,5,10,1,4,0,3,0,1,39,0
